group,group_label,node_index,x1,x2,x3,weight
7,pair_l1_l2,16,0.000000000000000000,0.955907315804539012,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,17,-0.406057174738239736,0.000000000000000000,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,18,0.406057174738239736,0.000000000000000000,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,19,-0.406057174738239736,0.000000000000000000,0.955907315804539012,0.180345157177431363
7,pair_l1_l2,20,0.406057174738239736,0.000000000000000000,0.955907315804539012,0.180345157177431363
7,pair_l1_l2,21,0.000000000000000000,-0.406057174738239736,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,22,0.000000000000000000,0.406057174738239736,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,23,0.000000000000000000,-0.406057174738239736,0.955907315804539012,0.180345157177431363
7,pair_l1_l2,24,0.000000000000000000,0.406057174738239736,0.955907315804539012,0.180345157177431363
8,triple_l1_l1_l1,1,-0.955907315804539012,-0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,2,-0.955907315804539012,-0.955907315804539012,0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,3,-0.955907315804539012,0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,4,-0.955907315804539012,0.955907315804539012,0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,5,0.955907315804539012,-0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,6,0.955907315804539012,-0.955907315804539012,0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,7,0.955907315804539012,0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,8,0.955907315804539012,0.955907315804539012,0.955907315804539012,0.014167025806713071
9,full_diag_l0,1,-0.686075797561756291,-0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,2,-0.686075797561756291,-0.686075797561756291,0.686075797561756291,0.251500114953147920
9,full_diag_l0,3,-0.686075797561756291,0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,4,-0.686075797561756291,0.686075797561756291,0.686075797561756291,0.251500114953147920
9,full_diag_l0,5,0.686075797561756291,-0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,6,0.686075797561756291,-0.686075797561756291,0.686075797561756291,0.251500114953147920
9,full_diag_l0,7,0.686075797561756291,0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,8,0.686075797561756291,0.686075797561756291,0.686075797561756291,0.251500114953147920
